,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
35,epsilon-ball,12.552,10.5796,10,1000,2,0.3346,0.3162,0.6529,1.1852929826335428,1.096722617620335,0.7754999999999999,1.096722617620335
36,epsilon-ball,16.826,8.782,9,1000,2,0.2777,0.2846,0.7866,1.1391577655548857,1.096722617620335,0.7754999999999999,1.096722617620335
37,epsilon-ball,20.536,7.8574,8,1000,2,0.2485,0.253,0.8791,1.1259958512496218,1.096722617620335,0.7754999999999999,1.096722617620335
38,epsilon-ball,25.07,6.9225,7,1000,2,0.2189,0.2214,0.9979,1.096074644669559,1.096722617620335,0.7754999999999999,1.096722617620335
39,epsilon-ball,28.478,6.3048,6,1000,2,0.1994,0.1897,1.0956,1.0639618534388908,1.096722617620335,0.7754999999999999,1.096722617620335
40,epsilon-ball,12.818,10.3408,10,1000,2,0.327,0.3162,0.668,1.1707502850717226,1.096722617620335,0.7754999999999999,1.096722617620335
41,epsilon-ball,16.886,8.5338,8,1000,2,0.2699,0.253,0.8095,1.108934392487599,1.096722617620335,0.7754999999999999,1.096722617620335
42,epsilon-ball,21.102,7.6509,8,1000,2,0.2419,0.253,0.9029,1.1114100893156496,1.096722617620335,0.7754999999999999,1.096722617620335
43,epsilon-ball,25.114,6.8123,7,1000,2,0.2154,0.2214,1.014,1.0795722437229756,1.096722617620335,0.7754999999999999,1.096722617620335
44,epsilon-ball,28.732,6.426,6,1000,2,0.2032,0.1897,1.075,1.0892401720612401,1.096722617620335,0.7754999999999999,1.096722617620335
45,epsilon-ball,12.874,14.7187,15,2000,2,0.3291,0.3354,0.5164,1.18089479413474,1.096722617620335,0.7754999999999999,1.096722617620335
46,epsilon-ball,17.034,12.1651,12,2000,2,0.272,0.2683,0.6248,1.1226878093535932,1.096722617620335,0.7754999999999999,1.096722617620335
47,epsilon-ball,21.57,10.6048,10,2000,2,0.2371,0.2236,0.7167,1.101317542803346,1.096722617620335,0.7754999999999999,1.096722617620335
48,epsilon-ball,25.245,9.7344,10,2000,2,0.2177,0.2236,0.7808,1.0936588652599128,1.096722617620335,0.7754999999999999,1.096722617620335
49,epsilon-ball,29.356,8.7137,9,2000,2,0.1948,0.2012,0.8723,1.0556891192741449,1.096722617620335,0.7754999999999999,1.096722617620335
50,epsilon-ball,13.026,14.5792,14,2000,2,0.326,0.313,0.5214,1.1765875072022138,1.096722617620335,0.7754999999999999,1.096722617620335
51,epsilon-ball,17.086,12.0285,12,2000,2,0.269,0.2683,0.6319,1.1117744155410978,1.096722617620335,0.7754999999999999,1.096722617620335
52,epsilon-ball,21.159,10.6094,10,2000,2,0.2372,0.2236,0.7164,1.0912478350790071,1.096722617620335,0.7754999999999999,1.096722617620335
53,epsilon-ball,25.704,9.6789,10,2000,2,0.2164,0.2236,0.7853,1.0972645825683613,1.096722617620335,0.7754999999999999,1.096722617620335
54,epsilon-ball,29.7,8.728,9,2000,2,0.1952,0.2012,0.8709,1.0635991079349398,1.096722617620335,0.7754999999999999,1.096722617620335
55,epsilon-ball,13.1147,17.581,17,3000,2,0.321,0.3104,0.4554,1.1624174658940594,1.096722617620335,0.7754999999999999,1.096722617620335
56,epsilon-ball,17.3507,14.6361,14,3000,2,0.2672,0.2556,0.547,1.1130719568667826,1.096722617620335,0.7754999999999999,1.096722617620335
57,epsilon-ball,21.3373,12.8926,13,3000,2,0.2354,0.2373,0.621,1.087300563186118,1.096722617620335,0.7754999999999999,1.096722617620335
58,epsilon-ball,25.4313,11.6916,12,3000,2,0.2135,0.2191,0.6848,1.0764592692564712,1.096722617620335,0.7754999999999999,1.096722617620335
59,epsilon-ball,30.0533,10.6482,10,3000,2,0.1944,0.1826,0.7519,1.065765495328857,1.096722617620335,0.7754999999999999,1.096722617620335
60,epsilon-ball,14.12,4.6095,5,500,3,0.5808,0.63,1.3482,1.4037035021132838,1.4000714267493641,1.111237427826279,1.4000714267493641
61,epsilon-ball,17.884,4.171,4,500,3,0.5255,0.504,1.4899,1.3742689750045334,1.4000714267493641,1.111237427826279,1.4000714267493641
62,epsilon-ball,22.752,3.7099,4,500,3,0.4674,0.504,1.6751,1.3244799702868255,1.4000714267493641,1.111237427826279,1.4000714267493641
63,epsilon-ball,25.808,3.5123,4,500,3,0.4425,0.504,1.7694,1.3077349146527586,1.4000714267493641,1.111237427826279,1.4000714267493641
64,epsilon-ball,28.968,3.3574,3,500,3,0.423,0.378,1.851,1.2991299306132562,1.4000714267493641,1.111237427826279,1.4000714267493641
65,epsilon-ball,13.408,4.8418,5,500,3,0.61,0.63,1.2835,1.4492328790748925,1.4000714267493641,1.111237427826279,1.4000714267493641
66,epsilon-ball,18.088,4.0971,4,500,3,0.5162,0.504,1.5168,1.3550336462734733,1.4000714267493641,1.111237427826279,1.4000714267493641
67,epsilon-ball,22.756,3.7498,4,500,3,0.4724,0.504,1.6573,1.338803210036239,1.4000714267493641,1.111237427826279,1.4000714267493641
68,epsilon-ball,26.448,3.5095,4,500,3,0.4422,0.504,1.7708,1.3174056571684476,1.4000714267493641,1.111237427826279,1.4000714267493641
69,epsilon-ball,29.812,3.3246,3,500,3,0.4189,0.378,1.8693,1.298812430967482,1.4000714267493641,1.111237427826279,1.4000714267493641
70,epsilon-ball,14.872,5.7098,6,1000,3,0.571,0.6,1.2098,1.404140896120099,1.4000714267493641,1.111237427826279,1.4000714267493641
71,epsilon-ball,19.344,5.138,5,1000,3,0.5138,0.5,1.3444,1.3792495822905992,1.4000714267493641,1.111237427826279,1.4000714267493641
72,epsilon-ball,24.168,4.5927,5,1000,3,0.4593,0.5,1.5041,1.3278478514394447,1.4000714267493641,1.111237427826279,1.4000714267493641
73,epsilon-ball,27.93,4.3123,4,1000,3,0.4312,0.4,1.6019,1.3083761281719313,1.4000714267493641,1.111237427826279,1.4000714267493641
74,epsilon-ball,31.984,4.074,4,1000,3,0.4074,0.4,1.6956,1.2931987721426712,1.4000714267493641,1.111237427826279,1.4000714267493641
75,epsilon-ball,14.516,5.7412,6,1000,3,0.5741,0.6,1.2032,1.4005060718154962,1.4000714267493641,1.111237427826279,1.4000714267493641
76,epsilon-ball,19.06,5.1213,5,1000,3,0.5121,0.5,1.3488,1.368005518003691,1.4000714267493641,1.111237427826279,1.4000714267493641
77,epsilon-ball,23.628,4.7034,5,1000,3,0.4703,0.5,1.4687,1.34964920193054,1.4000714267493641,1.111237427826279,1.4000714267493641
78,epsilon-ball,28.676,4.3312,4,1000,3,0.4331,0.4,1.5949,1.3257076498299445,1.4000714267493641,1.111237427826279,1.4000714267493641
79,epsilon-ball,32.06,4.0679,4,1000,3,0.4068,0.4,1.6981,1.2922844174940529,1.4000714267493641,1.111237427826279,1.4000714267493641
80,epsilon-ball,15.258,7.1638,7,1998,3,0.5688,0.5558,1.0609,1.410730843175247,1.4000714267493641,1.111237427826279,1.4000714267493641
81,epsilon-ball,15.567,7.262,7,2000,3,0.5764,0.5556,1.0467,1.4391781423282168,1.4000714267493641,1.111237427826279,1.4000714267493641
82,epsilon-ball,20.643,6.3283,6,2000,3,0.5023,0.4762,1.2011,1.3778480676289728,1.4000714267493641,1.111237427826279,1.4000714267493641
83,epsilon-ball,25.342,5.7403,6,2000,3,0.4556,0.4762,1.3241,1.3382529839809016,1.4000714267493641,1.111237427826279,1.4000714267493641
84,epsilon-ball,29.476,5.3905,5,2000,3,0.4278,0.3969,1.41,1.3216259815898064,1.4000714267493641,1.111237427826279,1.4000714267493641
85,epsilon-ball,34.157,5.0689,5,2000,3,0.4023,0.3969,1.4995,1.3053599929169484,1.4000714267493641,1.111237427826279,1.4000714267493641
86,epsilon-ball,15.802,8.1196,8,3000,3,0.563,0.5547,0.9861,1.4127486549196115,1.4000714267493641,1.111237427826279,1.4000714267493641
87,epsilon-ball,20.5067,7.1283,7,3000,3,0.4942,0.4854,1.1232,1.352832859475234,1.4000714267493641,1.111237427826279,1.4000714267493641
88,epsilon-ball,25.4293,6.5476,7,3000,3,0.454,0.4854,1.2228,1.3350161625730497,1.4000714267493641,1.111237427826279,1.4000714267493641
89,epsilon-ball,30.674,5.998,6,3000,3,0.4159,0.416,1.3348,1.301835711940566,1.4000714267493641,1.111237427826279,1.4000714267493641
90,epsilon-ball,35.0993,5.7114,6,3000,3,0.396,0.416,1.4018,1.2965869436650665,1.4000714267493641,1.111237427826279,1.4000714267493641
91,epsilon_bipartite,3.2105,16.1262,15,228,2,1.068,0.9934,0.3367,1.9135990879634308,1.096722617620335,0.7754999999999999,0.7754999999999999
92,epsilon_bipartite,3.1368,22.0316,20,285,2,1.305,1.1847,0.2566,2.31135696378678,1.096722617620335,0.7754999999999999,0.7754999999999999
93,epsilon_bipartite,3.2952,17.3153,17,315,2,0.9756,0.9578,0.3322,1.7709880592118656,1.096722617620335,0.7754999999999999,0.7754999999999999
94,epsilon_bipartite,3.5738,18.2798,18,474,2,0.8396,0.8268,0.337,1.5872575122535677,1.096722617620335,0.7754999999999999,0.7754999999999999
95,epsilon_bipartite,6.9197,8.5341,8,498,2,0.3824,0.3585,0.7277,1.0059738447284925,1.096722617620335,0.7754999999999999,0.7754999999999999
96,epsilon_bipartite,10.7054,6.3382,6,499,2,0.2837,0.2686,0.9802,0.9283614877058951,1.096722617620335,0.7754999999999999,0.7754999999999999
97,epsilon_bipartite,14.016,5.542,5,499,2,0.2481,0.2238,1.121,0.9288130165363612,1.096722617620335,0.7754999999999999,0.7754999999999999
98,epsilon_bipartite,3.8615,25.1025,24,621,2,1.0073,0.9631,0.2562,1.9794712356080444,1.096722617620335,0.7754999999999999,0.7754999999999999
99,epsilon_bipartite,3.2759,39.3941,38,754,2,1.4346,1.3839,0.1682,2.596634530328237,1.096722617620335,0.7754999999999999,0.7754999999999999
100,epsilon_bipartite,7.0831,11.9072,12,999,2,0.3767,0.3797,0.58,1.0026251420043701,1.096722617620335,0.7754999999999999,0.7754999999999999
101,epsilon_bipartite,10.322,9.0126,9,1000,2,0.285,0.2846,0.7665,0.9156553217891109,1.096722617620335,0.7754999999999999,0.7754999999999999
102,epsilon_bipartite,13.588,7.6739,8,1000,2,0.2427,0.253,0.9002,0.8945279288884612,1.096722617620335,0.7754999999999999,0.7754999999999999
103,epsilon_bipartite,3.8097,37.2967,36,1871,2,0.8623,0.8323,0.202,1.6829797965154625,1.096722617620335,0.7754999999999999,0.7754999999999999
