proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld
knn,10.346,11.2776,11,1000,2,0.3566,0.3479,0.6125
knn,3.7519,38.9,39,1959,2,0.8789,0.8811,0.1949
knn,15.87,12.2558,12,2000,2,0.274,0.2683,0.6202
knn,21.316,10.4088,10,2000,2,0.2327,0.2236,0.7302
knn,26.678,9.1887,9,2000,2,0.2055,0.2012,0.8272
knn,32.016,8.3699,8,2000,2,0.1872,0.1789,0.9081
knn,37.383,7.7498,8,2000,2,0.1733,0.1789,0.9808
knn,5.994,22.6466,22,2000,2,0.5064,0.4919,0.3356
knn,8.249,18.0007,18,2000,2,0.4025,0.4025,0.4223
knn,9.285,17.0489,17,2000,2,0.3812,0.3801,0.4458
knn,10.289,15.773,16,2000,2,0.3527,0.3578,0.4819
knn,3.7449,41.8885,41,2971,2,0.7685,0.7522,0.1909
knn,15.7933,14.9486,15,3000,2,0.2729,0.2739,0.5356
knn,21.1227,12.6449,12,3000,2,0.2309,0.2191,0.6332
knn,26.4947,11.2501,11,3000,2,0.2054,0.2008,0.7117
knn,31.9233,10.1665,10,3000,2,0.1856,0.1826,0.7875
knn,37.2473,9.35,9,3000,2,0.1707,0.1643,0.8563
knn,5.978,27.4298,27,3000,2,0.5008,0.493,0.2919
knn,8.1727,21.8421,22,3000,2,0.3988,0.4017,0.3666
knn,9.2487,20.4432,20,3000,2,0.3732,0.3651,0.3916
knn,10.3687,18.7241,18,3000,2,0.3419,0.3286,0.4276
knn,16.588,4.3371,4,500,3,0.5464,0.504,1.4329
knn,22.2,3.8445,4,500,3,0.4844,0.504,1.6165
knn,28.308,3.4935,4,500,3,0.4402,0.504,1.7789
knn,4.888,8.5684,9,500,3,1.0795,1.1339,0.7253
knn,8.508,6.0568,6,500,3,0.7631,0.756,1.0261
knn,10.756,5.3402,5,500,3,0.6728,0.63,1.1637
knn,6.056,7.4386,8,500,3,0.9372,1.0079,0.8355
knn,8.44,6.0914,6,500,3,0.7675,0.756,1.0202
knn,9.576,5.7393,6,500,3,0.7231,0.756,1.0828
knn,10.62,5.4398,5,500,3,0.6854,0.63,1.1424
knn,16.472,5.555,6,1000,3,0.5555,0.6,1.2435
knn,21.958,4.9126,5,1000,3,0.4913,0.5,1.4061
knn,27.658,4.4204,4,1000,3,0.442,0.4,1.5627
knn,33.338,4.1385,4,1000,3,0.4138,0.4,1.6692
knn,39.03,3.8677,4,1000,3,0.3868,0.4,1.786
knn,6.19,9.1671,9,1000,3,0.9167,0.9,0.7535
knn,8.372,7.6776,8,1000,3,0.7678,0.8,0.8997
knn,9.572,7.0866,7,1000,3,0.7087,0.7,0.9748
knn,10.62,6.7738,7,1000,3,0.6774,0.7,1.0198
knn,16.153,6.9974,7,2000,3,0.5554,0.5556,1.0862
knn,21.722,6.159,6,2000,3,0.4888,0.4762,1.2341
knn,27.416,5.619,6,2000,3,0.446,0.4762,1.3527
knn,32.843,5.2384,5,2000,3,0.4158,0.3969,1.451
knn,38.66,4.897,5,2000,3,0.3887,0.3969,1.5522
knn,6.101,11.4504,11,2000,3,0.9088,0.8731,0.6638
knn,8.332,9.7492,10,2000,3,0.7738,0.7937,0.7796
knn,9.444,8.9381,9,2000,3,0.7094,0.7143,0.8504
knn,10.604,8.5019,9,2000,3,0.6748,0.7143,0.894
knn,16.0833,8.0419,8,3000,3,0.5576,0.5547,0.9956
knn,21.628,7.0673,7,3000,3,0.49,0.4854,1.1329
knn,27.3013,6.4238,6,3000,3,0.4454,0.416,1.2464
knn,32.7313,5.9687,6,3000,3,0.4138,0.416,1.3414
knn,38.402,5.5953,6,3000,3,0.388,0.416,1.4309
knn,6.0367,13.2351,13,3000,3,0.9177,0.9014,0.6049
knn,8.3427,10.9218,11,3000,3,0.7573,0.7627,0.7331
knn,9.4567,10.2518,10,3000,3,0.7108,0.6934,0.781
knn,10.5693,9.6689,10,3000,3,0.6704,0.6934,0.8281
knn_bipartite,2.7863,20.9823,21,351,2,1.12,1.1209,0.2793
knn_bipartite,2.7619,29.4792,28,399,2,1.4758,1.4018,0.2032
knn_bipartite,2.8067,19.0416,19,476,2,0.8728,0.8709,0.3238
knn_bipartite,2.8163,26.4651,26,490,2,1.1956,1.1746,0.2341
knn_bipartite,11.88,5.9799,6,500,2,0.2674,0.2683,1.0393
knn_bipartite,17.556,4.8851,5,500,2,0.2185,0.2236,1.2722
knn_bipartite,23.188,4.2095,4,500,2,0.1883,0.1789,1.4763
knn_bipartite,5.156,10.2001,10,500,2,0.4562,0.4472,0.6093
knn_bipartite,6.276,9.0047,9,500,2,0.4027,0.4025,0.6902
knn_bipartite,7.476,8.1747,8,500,2,0.3656,0.3578,0.7602
knn_bipartite,3.968,13.4981,13,500,2,0.6037,0.5814,0.4604
knn_bipartite,2.743,33.6993,34,961,2,1.0871,1.0968,0.2038
knn_bipartite,11.998,8.0773,8,1000,2,0.2554,0.253,0.8552
knn_bipartite,17.448,6.6144,7,1000,2,0.2092,0.2214,1.0444
knn_bipartite,23.118,5.7223,6,1000,2,0.181,0.1897,1.2072
knn_bipartite,5.124,14.5368,14,1000,2,0.4597,0.4427,0.4752
knn_bipartite,6.238,12.5846,12,1000,2,0.398,0.3795,0.5489
knn_bipartite,7.484,10.7371,11,1000,2,0.3395,0.3479,0.6434
knn_bipartite,3.88,19.867,20,1000,2,0.6282,0.6325,0.3477
knn_bipartite,2.7335,46.0978,46,1805,2,1.085,1.0827,0.1627
knn_bipartite,11.922,11.324,11,2000,2,0.2532,0.246,0.6712
knn_bipartite,17.419,9.075,9,2000,2,0.2029,0.2012,0.8376
knn_bipartite,22.896,7.7884,8,2000,2,0.1742,0.1789,0.9759
knn_bipartite,5.116,19.8118,20,2000,2,0.443,0.4472,0.3837
knn_bipartite,6.304,16.9874,17,2000,2,0.3798,0.3801,0.4474
knn_bipartite,7.401,15.1078,15,2000,2,0.3378,0.3354,0.5031
knn_bipartite,3.958,25.2631,25,2000,2,0.5649,0.559,0.3009
knn_bipartite,2.7861,49.0253,49,2926,2,0.9063,0.9059,0.1628
knn_bipartite,11.8127,13.6165,13,3000,2,0.2486,0.2373,0.588
knn_bipartite,17.1473,10.9613,11,3000,2,0.2001,0.2008,0.7304
knn_bipartite,22.806,9.4092,9,3000,2,0.1718,0.1643,0.8509
knn_bipartite,5.1327,23.5801,23,3000,2,0.4305,0.4199,0.3395
knn_bipartite,6.2887,20.6598,20,3000,2,0.3772,0.3651,0.3875
knn_bipartite,7.4087,18.3048,18,3000,2,0.3342,0.3286,0.4374
knn_bipartite,3.934,30.8038,30,3000,2,0.5624,0.5477,0.2599
knn_bipartite,12.064,4.5812,5,500,3,0.5772,0.63,1.3566
knn_bipartite,17.968,3.8455,4,500,3,0.4845,0.504,1.6161
knn_bipartite,23.676,3.4686,3,500,3,0.437,0.378,1.7917
knn_bipartite,5.296,6.9813,7,500,3,0.8796,0.8819,0.8902
knn_bipartite,6.256,6.3603,6,500,3,0.8014,0.756,0.9771
knn_bipartite,7.616,5.7302,6,500,3,0.722,0.756,1.0845
knn_bipartite,4.024,8.5951,9,500,3,1.0829,1.1339,0.723
knn_bipartite,12.166,5.5846,6,1000,3,0.5585,0.6,1.2369
knn_bipartite,17.802,4.7941,5,1000,3,0.4794,0.5,1.4409
knn_bipartite,23.606,4.2731,4,1000,3,0.4273,0.4,1.6166
knn_bipartite,5.254,8.8473,9,1000,3,0.8847,0.9,0.7808
knn_bipartite,6.4,7.8377,8,1000,3,0.7838,0.8,0.8813
knn_bipartite,7.466,7.2005,7,1000,3,0.72,0.7,0.9593
knn_bipartite,3.922,10.7922,11,1000,3,1.0792,1.1,0.6401
knn_bipartite,12.011,7.0178,7,2000,3,0.557,0.5556,1.0831
knn_bipartite,17.821,5.9422,6,2000,3,0.4716,0.4762,1.2791
knn_bipartite,23.447,5.298,5,2000,3,0.4205,0.3969,1.4347
knn_bipartite,5.123,11.0428,11,2000,3,0.8765,0.8731,0.6883
knn_bipartite,6.311,9.7625,10,2000,3,0.7748,0.7937,0.7786
knn_bipartite,7.447,8.9531,9,2000,3,0.7106,0.7143,0.849
knn_bipartite,3.957,13.2031,13,2000,3,1.0479,1.0318,0.5757
knn_bipartite,11.9427,7.9773,8,3000,3,0.5531,0.5547,1.0036
knn_bipartite,17.5633,6.7515,7,3000,3,0.4681,0.4854,1.1859
knn_bipartite,23.314,6.0195,6,3000,3,0.4174,0.416,1.3301
knn_bipartite,5.1573,12.6583,13,3000,3,0.8777,0.9014,0.6325
knn_bipartite,6.2787,11.1306,11,3000,3,0.7718,0.7627,0.7193
knn_bipartite,7.434,10.1544,10,3000,3,0.7041,0.6934,0.7885
knn_bipartite,3.9533,15.3242,15,3000,3,1.0625,1.04,0.5225
